Expected value: 9129.9375
Variance: 4564.96875
Standard deviation: 67.56455246651161

Mean absolute error: 73.7811375
Mean relative error: 0.81%
Mean accuracy ratio: 100.01%

Smallest counter value: 8774
Largest counter value: 9504

Mean counter value: 9131.2281
Mean absolute deviation: 73.78043356
Standard deviation: 92.44817072495269
Maximum deviation: 372.77189999999973
Variance: 8546.66427039

Mean Counter Values per Word:
Word : Counter Value : Expected Value
don             : 169.52        : 169.62
quijote         : 139.98        : 140.06
sancho          : 136.03        : 135.88
respondió       : 66.62         : 66.44
señor           : 66.55         : 66.56
merced          : 56.29         : 56.25
caballero       : 42.39         : 42.31
dios            : 33.20         : 33.19
señora          : 32.36         : 32.38
cosa            : 28.00         : 27.94
mundo           : 24.73         : 24.75
cosas           : 22.79         : 22.75
vida            : 22.39         : 22.38
panza           : 22.02         : 22.00
lugar           : 21.53         : 21.56
casa            : 20.94         : 20.94
tiempo          : 20.47         : 20.44
digo            : 20.19         : 20.19
cura            : 19.83         : 19.81
puesto          : 19.23         : 19.25
mano            : 19.01         : 19.00
amo             : 18.60         : 18.62
caballeros      : 18.39         : 18.31
visto           : 17.91         : 17.88
dulcinea        : 17.89         : 17.88
ojos            : 17.83         : 17.81
tierra          : 17.17         : 17.19
historia        : 16.36         : 16.38
quiero          : 16.35         : 16.31
hombre          : 16.14         : 16.19
padre           : 16.10         : 16.19
cielo           : 15.74         : 15.75
vio             : 15.60         : 15.56
amigo           : 15.58         : 15.56
escudero        : 15.54         : 15.56
camino          : 15.39         : 15.38
manos           : 14.94         : 14.94
desta           : 14.88         : 14.88
mujer           : 14.36         : 14.31
mesmo           : 13.67         : 13.69
cabeza          : 13.47         : 13.50
punto           : 13.31         : 13.25
vos             : 13.21         : 13.25
noche           : 13.14         : 13.19
replicó         : 13.01         : 13.00
fuese           : 12.97         : 13.00
rocinante       : 12.94         : 12.94
vuesa           : 12.72         : 12.69
parecer         : 12.67         : 12.62
razones         : 12.65         : 12.62
duque           : 12.59         : 12.62
caballo         : 12.37         : 12.38
diciendo        : 12.37         : 12.38
andante         : 12.28         : 12.31
gusto           : 12.12         : 12.12
podía           : 12.09         : 12.06
mil             : 12.08         : 12.00
duquesa         : 12.01         : 12.00
pie             : 12.01         : 12.06
decía           : 11.90         : 11.88
oh              : 11.74         : 11.81
mancha          : 11.69         : 11.75
nombre          : 11.32         : 11.31
voz             : 11.16         : 11.19
duda            : 11.14         : 11.12
gobernador      : 10.91         : 10.88
barbero         : 10.68         : 10.69
toboso          : 10.30         : 10.31
hija            : 10.18         : 10.19
andantes        : 10.12         : 10.12
iba             : 10.03         : 10.06
voluntad        : 10.01         : 10.00
aventura        : 9.98          : 10.00
deseo           : 9.97          : 9.94
quiso           : 9.90          : 9.88
gente           : 9.87          : 9.88
armas           : 9.82          : 9.81
has             : 9.70          : 9.75
ventura         : 9.69          : 9.69
tales           : 9.64          : 9.69
alma            : 9.56          : 9.56
capítulo        : 9.55          : 9.56
razón           : 9.52          : 9.50
rostro          : 9.52          : 9.56
entender        : 9.51          : 9.44
muerte          : 9.49          : 9.50
venía           : 9.48          : 9.44
señores         : 9.43          : 9.44
viendo          : 9.41          : 9.44
tanta           : 9.35          : 9.38
deste           : 9.35          : 9.31
agora           : 9.32          : 9.31
cuerpo          : 9.32          : 9.38
camila          : 9.32          : 9.25
doncella        : 9.27          : 9.25
libros          : 9.24          : 9.25
venta           : 9.24          : 9.25
menester        : 9.23          : 9.25
palabra         : 9.22          : 9.19
castillo        : 9.04          : 9.00
caballería      : 8.96          : 8.94
jamás           : 8.94          : 8.94
hermosa         : 8.93          : 8.94
puso            : 8.89          : 8.94
lotario         : 8.85          : 8.88
suerte          : 8.85          : 8.81
corazón         : 8.82          : 8.81
suelo           : 8.80          : 8.81
preguntó        : 8.68          : 8.69
rey             : 8.66          : 8.62
anselmo         : 8.63          : 8.62
vino            : 8.62          : 8.62
pies            : 8.59          : 8.56
años            : 8.58          : 8.56
persona         : 8.53          : 8.50
fernando        : 8.39          : 8.44
mala            : 8.35          : 8.31
finalmente      : 8.32          : 8.31
comenzó         : 8.31          : 8.31
voces           : 8.27          : 8.25
dél             : 8.21          : 8.25
caso            : 8.09          : 8.12
memoria         : 8.04          : 8.00
fuerza          : 7.99          : 8.06
salir           : 7.99          : 8.00
oído            : 7.96          : 7.94
palabras        : 7.85          : 7.81
mitad           : 7.83          : 7.81
amor            : 7.81          : 7.81
fama            : 7.75          : 7.75
causa           : 7.75          : 7.75
libro           : 7.75          : 7.75
hermosura       : 7.59          : 7.69
volvió          : 7.56          : 7.56
contento        : 7.49          : 7.50
rucio           : 7.44          : 7.44
ínsula          : 7.42          : 7.44
ventero         : 7.35          : 7.38
pasar           : 7.26          : 7.25
gobierno        : 7.26          : 7.31
hacía           : 7.25          : 7.25
venir           : 7.13          : 7.12
figura          : 7.06          : 7.06
dejar           : 7.04          : 7.06
debía           : 7.02          : 7.00
dorotea         : 7.02          : 7.00
espada          : 6.98          : 7.00
habéis          : 6.95          : 6.94
tantas          : 6.94          : 6.94
bachiller       : 6.93          : 6.94
loco            : 6.92          : 6.94
pena            : 6.80          : 6.81
muerto          : 6.79          : 6.75
triste          : 6.71          : 6.69
hora            : 6.71          : 6.75
volver          : 6.70          : 6.69
daba            : 6.67          : 6.62
intención       : 6.67          : 6.69
hermano         : 6.64          : 6.62
boca            : 6.63          : 6.62
tomar           : 6.61          : 6.62
ocasión         : 6.57          : 6.56
buscar          : 6.55          : 6.56
pedro           : 6.52          : 6.50
pueblo          : 6.52          : 6.50
della           : 6.50          : 6.50
hombres         : 6.46          : 6.44
partes          : 6.39          : 6.38
ciudad          : 6.38          : 6.38
pensamientos    : 6.36          : 6.38
lengua          : 6.36          : 6.38
cardenio        : 6.29          : 6.31
pareció         : 6.27          : 6.25
luscinda        : 6.26          : 6.19
hijo            : 6.23          : 6.25
lágrimas        : 6.18          : 6.19
tantos          : 6.18          : 6.19
paso            : 6.18          : 6.19
comer           : 6.17          : 6.19
pobre           : 6.17          : 6.19
dellos          : 6.16          : 6.12
carta           : 6.15          : 6.19
adonde          : 6.14          : 6.12
aventuras       : 6.12          : 6.12
hablar          : 6.09          : 6.06
vista           : 6.08          : 6.12
quería          : 6.06          : 6.06
pienso          : 6.06          : 6.06
orden           : 6.04          : 6.00
famoso          : 5.99          : 6.00
parecía         : 5.93          : 5.94
traía           : 5.90          : 5.88
sucedió         : 5.87          : 5.88
oro             : 5.86          : 5.88
diablo          : 5.81          : 5.81
aposento        : 5.79          : 5.81
viene           : 5.79          : 5.81
fe              : 5.76          : 5.75
estando         : 5.73          : 5.75
brazos          : 5.69          : 5.69
dando           : 5.66          : 5.62
cabo            : 5.65          : 5.62
teresa          : 5.63          : 5.62
entrar          : 5.62          : 5.62
mira            : 5.59          : 5.56
pensar          : 5.59          : 5.56
cuento          : 5.58          : 5.56
sabía           : 5.58          : 5.56
quisiera        : 5.56          : 5.56
pudiera         : 5.55          : 5.56
salió           : 5.55          : 5.50
asno            : 5.51          : 5.50
mozo            : 5.42          : 5.44
mesma           : 5.40          : 5.38
suele           : 5.40          : 5.44
campo           : 5.39          : 5.38
puerta          : 5.39          : 5.38
mañana          : 5.38          : 5.38
habiendo        : 5.37          : 5.38
trabajo         : 5.34          : 5.38
valor           : 5.34          : 5.31
pasó            : 5.29          : 5.31
pecho           : 5.28          : 5.31
dé              : 5.25          : 5.25
gana            : 5.25          : 5.25
