Expected value: 9129.9375
Variance: 4564.96875
Standard deviation: 67.56455246651161

Mean absolute error: 108.9375
Mean relative error: 1.19%
Mean accuracy ratio: 98.81%

Smallest counter value: 9021
Largest counter value: 9021

Mean counter value: 9021.0
Mean absolute deviation: 0.0
Standard deviation: 0.0
Maximum deviation: 0.0
Variance: 0.0

Mean Counter Values per Word:
Word : Counter Value : Expected Value
don             : 158.00        : 169.62
quijote         : 139.00        : 140.06
sancho          : 104.00        : 135.88
merced          : 57.00         : 56.25
señor           : 55.00         : 66.56
caballero       : 50.00         : 42.31
respondió       : 47.00         : 66.44
cosa            : 35.00         : 27.94
dios            : 35.00         : 33.19
mundo           : 32.00         : 24.75
digo            : 28.00         : 20.19
tierra          : 24.00         : 17.19
cosas           : 24.00         : 22.75
puesto          : 24.00         : 19.25
lugar           : 24.00         : 21.56
mano            : 24.00         : 19.00
señora          : 23.00         : 32.38
casa            : 23.00         : 20.94
ojos            : 22.00         : 17.81
hombre          : 21.00         : 16.19
quiero          : 20.00         : 16.31
vida            : 19.00         : 22.38
dulcinea        : 19.00         : 17.88
visto           : 19.00         : 17.88
tiempo          : 19.00         : 20.44
mesmo           : 19.00         : 13.69
manos           : 19.00         : 14.94
caballeros      : 19.00         : 18.31
cura            : 18.00         : 19.81
camino          : 18.00         : 15.38
vos             : 18.00         : 13.25
panza           : 17.00         : 22.00
vuesa           : 17.00         : 12.69
pie             : 17.00         : 12.06
podía           : 17.00         : 12.06
fuese           : 16.00         : 13.00
amo             : 15.00         : 18.62
punto           : 15.00         : 13.25
mancha          : 14.00         : 11.75
razones         : 14.00         : 12.62
historia        : 14.00         : 16.38
mil             : 14.00         : 12.00
desta           : 14.00         : 14.88
deste           : 14.00         : 9.31
señores         : 14.00         : 9.44
fuerza          : 14.00         : 8.06
pasar           : 14.00         : 7.25
salir           : 14.00         : 8.00
diciendo        : 14.00         : 12.38
duque           : 13.00         : 12.62
adonde          : 13.00         : 6.12
ventura         : 13.00         : 9.69
rocinante       : 13.00         : 12.94
iba             : 13.00         : 10.06
andantes        : 13.00         : 10.12
mitad           : 13.00         : 7.81
viendo          : 13.00         : 9.44
gente           : 13.00         : 9.88
barbero         : 12.00         : 10.69
jamás           : 12.00         : 8.94
gusto           : 12.00         : 12.12
mujer           : 12.00         : 14.31
pena            : 12.00         : 6.81
tanta           : 12.00         : 9.38
alma            : 12.00         : 9.56
caballo         : 12.00         : 12.38
camila          : 12.00         : 9.25
aventura        : 11.00         : 10.00
pobre           : 11.00         : 6.19
gobierno        : 11.00         : 7.31
razón           : 11.00         : 9.50
amor            : 11.00         : 7.81
amigo           : 11.00         : 15.56
cielo           : 11.00         : 15.75
