Expected value: 620.9375
Variance: 310.46875
Standard deviation: 17.62012343884117

Mean absolute error: 9314.3868
Mean relative error: 93.75%
Mean accuracy ratio: 1.00%

Smallest counter value: 532
Largest counter value: 718

Mean counter value: 620.6132
Mean absolute deviation: 19.2014924
Standard deviation: 24.136233876891396
Maximum deviation: 97.3868
Variance: 582.5577857599999

Mean Counter Values per Word:
Word : Counter Value : Expected Value
mendo           : 17.87         : 17.88
don             : 15.35         : 15.38
magdalena       : 12.82         : 12.81
moncada         : 7.97          : 8.00
nuño            : 7.64          : 7.62
pesetas         : 7.18          : 7.19
alfonso         : 4.67          : 4.69
ramírez         : 4.47          : 4.50
azofaifa        : 3.96          : 3.94
edición         : 3.38          : 3.38
dios            : 3.26          : 3.25
vos             : 3.19          : 3.19
doña            : 3.13          : 3.12
actos           : 3.07          : 3.06
rey             : 3.04          : 3.06
marqués         : 2.80          : 2.81
amor            : 2.70          : 2.69
p               : 2.35          : 2.38
clodulfo        : 2.29          : 2.31
cómico          : 2.06          : 2.06
escena          : 1.95          : 1.94
juguete         : 1.94          : 1.94
música          : 1.83          : 1.81
froilán         : 1.82          : 1.81
derecha         : 1.82          : 1.81
espada          : 1.82          : 1.81
berenguela      : 1.82          : 1.81
conde           : 1.79          : 1.81
mano            : 1.76          : 1.75
novela          : 1.73          : 1.75
término         : 1.73          : 1.75
vida            : 1.71          : 1.69
ojos            : 1.70          : 1.69
padre           : 1.69          : 1.69
honor           : 1.69          : 1.69
vive            : 1.64          : 1.62
trovador        : 1.56          : 1.56
izquierda       : 1.56          : 1.56
caballero       : 1.51          : 1.50
señora          : 1.49          : 1.50
prosa           : 1.38          : 1.38
señor           : 1.34          : 1.38
fué             : 1.31          : 1.31
puñal           : 1.29          : 1.31
poesías         : 1.25          : 1.25
comedia         : 1.25          : 1.25
alí             : 1.20          : 1.19
has             : 1.19          : 1.19
sainete         : 1.18          : 1.19
toro            : 1.18          : 1.19
brazos          : 1.13          : 1.12
foro            : 1.13          : 1.12
cielo           : 1.07          : 1.06
vi              : 1.06          : 1.06
castillo        : 1.02          : 1.00
lope            : 1.02          : 1.00
lindo           : 1.01          : 1.00
cielos          : 1.01          : 1.00
cuadros         : 1.01          : 1.00
manfredo        : 1.00          : 1.00
maestro         : 1.00          : 1.00
marquesa        : 1.00          : 1.00
quiero          : 1.00          : 1.00
entran          : 1.00          : 1.00
pecho           : 0.98          : 1.00
acto            : 0.97          : 1.00
torre           : 0.96          : 0.94
venganza        : 0.95          : 0.94
juro            : 0.94          : 0.94
voz             : 0.94          : 0.94
duque           : 0.94          : 0.94
abad            : 0.94          : 0.94
presto          : 0.93          : 0.94
adiós           : 0.93          : 0.94
nombre          : 0.93          : 0.94
león            : 0.93          : 0.94
mutis           : 0.92          : 0.94
escala          : 0.91          : 0.94
ay              : 0.89          : 0.88
tomo            : 0.88          : 0.88
barón           : 0.88          : 0.88
gracias         : 0.88          : 0.88
mujer           : 0.88          : 0.88
fe              : 0.87          : 0.88
noche           : 0.87          : 0.88
lupo            : 0.87          : 0.88
sangre          : 0.87          : 0.88
hombre          : 0.86          : 0.88
ah              : 0.82          : 0.81
viene           : 0.81          : 0.81
mesmo           : 0.81          : 0.81
bertoldino      : 0.81          : 0.81
tienda          : 0.81          : 0.81
suero           : 0.81          : 0.81
oh              : 0.80          : 0.81
corazón         : 0.80          : 0.81
cae             : 0.80          : 0.81
ª               : 0.76          : 0.75
flor            : 0.76          : 0.75
entremés        : 0.76          : 0.75
muerto          : 0.76          : 0.75
paso            : 0.75          : 0.75
visto           : 0.75          : 0.75
noble           : 0.75          : 0.75
lateral         : 0.75          : 0.75
galería         : 0.75          : 0.75
duquesa         : 0.74          : 0.75
muere           : 0.70          : 0.69
casa            : 0.70          : 0.69
hora            : 0.69          : 0.69
collar          : 0.69          : 0.69
jornada         : 0.69          : 0.69
digo            : 0.68          : 0.69
di              : 0.68          : 0.69
dama            : 0.68          : 0.69
ladrón          : 0.68          : 0.69
luz             : 0.68          : 0.69
entra           : 0.68          : 0.69
privado         : 0.68          : 0.69
suerte          : 0.67          : 0.69
mora            : 0.64          : 0.62
vil             : 0.63          : 0.62
muerte          : 0.63          : 0.62
brazo           : 0.63          : 0.62
esposa          : 0.63          : 0.62
pies            : 0.63          : 0.62
ilustración     : 0.63          : 0.62
telón           : 0.62          : 0.62
pausa           : 0.62          : 0.62
calla           : 0.62          : 0.62
mira            : 0.62          : 0.62
maldita         : 0.62          : 0.62
boca            : 0.62          : 0.62
santo           : 0.62          : 0.62
ve              : 0.62          : 0.62
renato          : 0.58          : 0.56
juan            : 0.57          : 0.56
media           : 0.57          : 0.56
dices           : 0.57          : 0.56
reina           : 0.57          : 0.56
zarzuela        : 0.57          : 0.56
lírico          : 0.57          : 0.56
girona          : 0.56          : 0.56
suelo           : 0.56          : 0.56
duda            : 0.56          : 0.56
majestad        : 0.56          : 0.56
agora           : 0.56          : 0.56
estáis          : 0.56          : 0.56
palabra         : 0.55          : 0.56
loca            : 0.55          : 0.56
sancha          : 0.55          : 0.56
mirando         : 0.55          : 0.56
moras           : 0.51          : 0.50
etc             : 0.51          : 0.50
acero           : 0.51          : 0.50
viendo          : 0.51          : 0.50
lorenzana       : 0.50          : 0.50
morir           : 0.50          : 0.50
seré            : 0.50          : 0.50
muero           : 0.50          : 0.50
mil             : 0.50          : 0.50
ayer            : 0.50          : 0.50
entrando        : 0.50          : 0.50
deja            : 0.50          : 0.50
valor           : 0.50          : 0.50
razón           : 0.50          : 0.50
momento         : 0.50          : 0.50
alto            : 0.50          : 0.50
frailes         : 0.50          : 0.50
obras           : 0.49          : 0.50
cosa            : 0.49          : 0.50
aquesto         : 0.49          : 0.50
bella           : 0.49          : 0.50
amigo           : 0.49          : 0.50
cien            : 0.49          : 0.50
puerta          : 0.49          : 0.50
dió             : 0.49          : 0.50
pajes           : 0.49          : 0.50
entró           : 0.45          : 0.44
seca            : 0.45          : 0.44
cerca           : 0.45          : 0.44
espero          : 0.45          : 0.44
acaso           : 0.45          : 0.44
ja              : 0.44          : 0.44
doncel          : 0.44          : 0.44
ester           : 0.44          : 0.44
miserable       : 0.44          : 0.44
jamás           : 0.44          : 0.44
rayo            : 0.44          : 0.44
manuel          : 0.44          : 0.44
daga            : 0.44          : 0.44
lugar           : 0.44          : 0.44
instante        : 0.44          : 0.44
manos           : 0.44          : 0.44
alma            : 0.44          : 0.44
