Expected value: 2148.375
Variance: 1074.1875
Standard deviation: 32.774799770555425

Mean absolute error: 32225.0864
Mean relative error: 93.75%
Mean accuracy ratio: 1.00%

Smallest counter value: 1998
Largest counter value: 2321

Mean counter value: 2148.9136
Mean absolute deviation: 35.65207648
Standard deviation: 44.778324388480634
Maximum deviation: 172.08640000000014
Variance: 2005.0983350399997

Mean Counter Values per Word:
Word : Counter Value : Expected Value
d               : 30.13         : 30.19
n               : 24.63         : 24.69
tinha           : 17.68         : 17.69
elle            : 17.46         : 17.44
á               : 15.54         : 15.56
ella            : 14.75         : 14.69
disse           : 12.03         : 12.06
rytmel          : 11.30         : 11.31
condessa        : 9.62          : 9.62
mim             : 9.05          : 9.06
casa            : 8.39          : 8.38
homem           : 7.76          : 7.75
olhos           : 7.62          : 7.62
havia           : 6.76          : 6.75
vida            : 6.64          : 6.62
ha              : 6.63          : 6.62
aquella         : 6.47          : 6.44
noite           : 6.01          : 6.00
luz             : 5.39          : 5.38
aquelle         : 5.32          : 5.31
carmen          : 5.19          : 5.19
ás              : 4.89          : 4.88
voz             : 4.73          : 4.75
mar             : 4.64          : 4.62
mascarado       : 4.41          : 4.44
dia             : 4.33          : 4.31
mulher          : 4.27          : 4.25
mão             : 4.17          : 4.19
pé              : 4.03          : 4.00
carta           : 3.99          : 4.00
porta           : 3.99          : 4.00
amigo           : 3.92          : 3.94
horas           : 3.87          : 3.88
amor            : 3.85          : 3.88
nome            : 3.82          : 3.81
vi              : 3.74          : 3.75
coração         : 3.68          : 3.69
agua            : 3.50          : 3.50
lisboa          : 3.43          : 3.44
mãos            : 3.42          : 3.44
pobre           : 3.37          : 3.38
m               : 3.33          : 3.31
palavras        : 3.29          : 3.31
outro           : 3.22          : 3.19
verdade         : 3.20          : 3.19
f               : 3.20          : 3.19
repente         : 3.13          : 3.12
malta           : 3.10          : 3.06
tinham          : 3.06          : 3.06
rua             : 3.06          : 3.06
ahi             : 3.02          : 3.00
quasi           : 2.99          : 3.00
tambem          : 2.95          : 2.94
mundo           : 2.95          : 2.94
dizia           : 2.94          : 2.94
parecia         : 2.94          : 2.94
cabeça          : 2.93          : 2.94
carruagem       : 2.90          : 2.88
doutor          : 2.90          : 2.88
senhor          : 2.89          : 2.88
cartas          : 2.87          : 2.88
via             : 2.76          : 2.75
morto           : 2.74          : 2.75
papel           : 2.69          : 2.69
alto            : 2.68          : 2.69
dias            : 2.65          : 2.62
crime           : 2.63          : 2.62
logar           : 2.61          : 2.62
cadaver         : 2.59          : 2.56
corpo           : 2.57          : 2.56
eram            : 2.56          : 2.56
paixão          : 2.56          : 2.56
ia              : 2.56          : 2.56
conde           : 2.52          : 2.50
sentia          : 2.48          : 2.50
senhora         : 2.46          : 2.44
palavra         : 2.45          : 2.44
póde            : 2.44          : 2.44
silencio        : 2.39          : 2.38
cousas          : 2.37          : 2.38
deus            : 2.37          : 2.38
c               : 2.37          : 2.38
ninguem         : 2.34          : 2.38
hoje            : 2.34          : 2.31
vae             : 2.32          : 2.31
estrada         : 2.30          : 2.31
braços          : 2.30          : 2.31
alguem          : 2.28          : 2.25
movimento       : 2.27          : 2.25
betty           : 2.27          : 2.25
estavam         : 2.25          : 2.25
mesma           : 2.21          : 2.19
honra           : 2.18          : 2.19
junto           : 2.15          : 2.12
vento           : 2.13          : 2.12
cintra          : 2.13          : 2.12
lhes            : 2.12          : 2.12
sido            : 2.11          : 2.12
india           : 2.10          : 2.12
espirito        : 2.08          : 2.06
feliz           : 2.07          : 2.06
senti           : 2.06          : 2.06
terra           : 2.06          : 2.06
morte           : 2.06          : 2.06
capitão         : 2.04          : 2.06
alguma          : 2.04          : 2.06
sala            : 2.03          : 2.00
lagrimas        : 2.00          : 2.00
queria          : 2.00          : 2.00
rosto           : 1.96          : 1.94
fóra            : 1.95          : 1.94
certo           : 1.95          : 1.94
tres            : 1.94          : 1.94
braço           : 1.94          : 1.94
hora            : 1.94          : 1.94
mesa            : 1.93          : 1.94
mysterio        : 1.93          : 1.94
fundo           : 1.92          : 1.94
pessoa          : 1.92          : 1.94
cabello         : 1.89          : 1.88
captain         : 1.86          : 1.88
tigre           : 1.86          : 1.88
