Expected value: 1724.375
Variance: 862.1875
Standard deviation: 29.363029475856198

Mean absolute error: 62.375
Mean relative error: 3.62%
Mean accuracy ratio: 96.38%

Smallest counter value: 1662
Largest counter value: 1662

Mean counter value: 1662.0
Mean absolute deviation: 0.0
Standard deviation: 0.0
Maximum deviation: 0.0
Variance: 0.0

Mean Counter Values per Word:
Word : Counter Value : Expected Value
mar             : 20.00         : 11.75
céu             : 11.00         : 5.19
gente           : 10.00         : 14.38
terra           : 10.00         : 13.88
rei             : 9.00          : 12.75
co              : 9.00          : 6.69
outro           : 7.00          : 4.50
armas           : 6.00          : 3.62
ó               : 6.00          : 4.88
mundo           : 6.00          : 6.31
vê              : 6.00          : 4.12
claro           : 6.00          : 2.75
forte           : 5.00          : 4.94
leva            : 5.00          : 1.31
reino           : 4.00          : 5.38
fama            : 4.00          : 4.12
cor             : 4.00          : 1.88
si              : 4.00          : 2.44
gentio          : 4.00          : 1.38
gama            : 4.00          : 3.06
oriente         : 4.00          : 1.12
capitão         : 4.00          : 3.62
duro            : 4.00          : 2.25
costa           : 4.00          : 2.25
antigo          : 4.00          : 1.44
vento           : 4.00          : 2.69
formosa         : 4.00          : 1.44
ilha            : 4.00          : 2.62
manda           : 4.00          : 3.12
donde           : 4.00          : 1.88
ficou           : 4.00          : 0.88
poucos          : 4.00          : 0.81
dano            : 4.00          : 1.38
buscar          : 4.00          : 1.44
fera            : 4.00          : 1.31
olha            : 4.00          : 2.88
arte            : 3.00          : 2.31
rio             : 3.00          : 1.88
ajuda           : 3.00          : 0.75
idade           : 3.00          : 1.19
deus            : 3.00          : 3.62
amor            : 3.00          : 3.94
nome            : 3.00          : 4.50
fero            : 3.00          : 1.25
glória          : 3.00          : 2.25
largo           : 3.00          : 1.50
ondas           : 3.00          : 2.62
naus            : 3.00          : 2.75
raios           : 3.00          : 0.75
ar              : 3.00          : 1.56
razão           : 3.00          : 1.25
certo           : 3.00          : 2.25
sereno          : 3.00          : 1.12
coa             : 3.00          : 1.19
dia             : 3.00          : 2.38
seja            : 3.00          : 1.25
frota           : 3.00          : 1.56
palavras        : 3.00          : 2.06
caso            : 3.00          : 1.31
pôs             : 3.00          : 0.75
amigo           : 3.00          : 0.88
coração         : 3.00          : 1.81
eis             : 3.00          : 1.38
várias          : 3.00          : 1.75
trabalhos       : 3.00          : 1.38
amado           : 3.00          : 0.56
sinais          : 3.00          : 0.56
algum           : 3.00          : 1.94
noite           : 3.00          : 0.94
consigo         : 3.00          : 1.00
desejo          : 3.00          : 1.38
ledo            : 3.00          : 1.12
los             : 3.00          : 0.69
filho           : 3.00          : 3.44
tantas          : 3.00          : 1.31
esforço         : 3.00          : 2.31
destes          : 3.00          : 0.94
lo              : 3.00          : 2.00
montes          : 3.00          : 1.38
fugindo         : 3.00          : 0.44
rica            : 3.00          : 1.62
ficava          : 3.00          : 0.56
sinal           : 3.00          : 1.12
avante          : 3.00          : 0.62
cidade          : 3.00          : 2.94
sendo           : 3.00          : 1.69
vida            : 3.00          : 3.44
nobre           : 3.00          : 2.25
ti              : 3.00          : 1.62
soberba         : 3.00          : 1.00
manjar          : 3.00          : 0.25
espada          : 3.00          : 1.38
mantimento      : 3.00          : 0.62
quis            : 3.00          : 1.38
posta           : 3.00          : 0.56
anteu           : 3.00          : 0.19
começam         : 3.00          : 0.25
pera            : 3.00          : 2.19
mares           : 2.00          : 1.62
perigos         : 2.00          : 1.50
força           : 2.00          : 3.38
reis            : 2.00          : 1.62
terras          : 2.00          : 3.06
lei             : 2.00          : 2.19
vitórias        : 2.00          : 0.81
marte           : 2.00          : 1.44
águas           : 2.00          : 3.19
fúria           : 2.00          : 0.75
gesto           : 2.00          : 1.94
preço           : 2.00          : 0.75
