Expected value: 1724.375
Variance: 862.1875
Standard deviation: 29.363029475856198

Mean absolute error: 32.46
Mean relative error: 1.88%
Mean accuracy ratio: 98.12%

Smallest counter value: 1619
Largest counter value: 1842

Mean counter value: 1723.81
Mean absolute deviation: 32.41479999999999
Standard deviation: 41.5980035578632
Maximum deviation: 118.19000000000005
Variance: 1730.3938999999998

Mean Counter Values per Word:
Word : Counter Value : Expected Value
terra           : 14.36         : 13.88
gente           : 13.63         : 14.38
rei             : 12.58         : 12.75
mar             : 11.64         : 11.75
co              : 6.49          : 6.69
mundo           : 6.21          : 6.31
céu             : 5.33          : 5.19
reino           : 5.27          : 5.38
forte           : 5.07          : 4.94
ó               : 5.00          : 4.88
nome            : 4.69          : 4.50
outro           : 4.66          : 4.50
peito           : 4.60          : 4.75
amor            : 4.14          : 3.94
fama            : 4.04          : 4.12
vê              : 3.83          : 4.12
enfim           : 3.81          : 3.88
armas           : 3.81          : 3.62
filho           : 3.63          : 3.44
capitão         : 3.53          : 3.62
força           : 3.47          : 3.38
tinha           : 3.46          : 3.56
vida            : 3.39          : 3.44
deus            : 3.34          : 3.62
águas           : 3.24          : 3.19
gentes          : 3.20          : 3.19
terras          : 3.17          : 3.06
guerra          : 3.12          : 3.12
mouro           : 3.11          : 3.12
manda           : 3.04          : 3.12
gama            : 3.02          : 3.06
água            : 3.02          : 3.50
morte           : 2.98          : 3.06
fogo            : 2.98          : 2.62
claro           : 2.97          : 2.75
olhos           : 2.96          : 2.94
olha            : 2.88          : 2.88
vendo           : 2.79          : 2.94
ondas           : 2.78          : 2.62
ilustre         : 2.69          : 2.62
mouros          : 2.69          : 2.69
vento           : 2.67          : 2.69
arte            : 2.66          : 2.31
cidade          : 2.66          : 2.94
há              : 2.65          : 2.88
d               : 2.62          : 2.56
naus            : 2.61          : 2.75
ilha            : 2.49          : 2.62
nenhum          : 2.43          : 2.38
disse           : 2.41          : 2.19
si              : 2.41          : 2.44
duro            : 2.39          : 2.25
vista           : 2.37          : 2.50
alto            : 2.35          : 2.31
ouro            : 2.28          : 2.19
feitos          : 2.28          : 2.19
ardente         : 2.25          : 2.19
pátria          : 2.24          : 2.12
glória          : 2.24          : 2.25
doce            : 2.21          : 2.12
costa           : 2.20          : 2.25
será            : 2.20          : 1.94
sol             : 2.20          : 2.44
lei             : 2.20          : 2.19
dia             : 2.17          : 2.38
esforço         : 2.15          : 2.31
lo              : 2.12          : 2.00
cor             : 2.12          : 1.88
nobre           : 2.10          : 2.25
pera            : 2.09          : 2.19
deuses          : 2.06          : 2.00
armada          : 2.06          : 2.19
donde           : 2.02          : 1.88
vês             : 2.02          : 2.38
certo           : 2.01          : 2.25
palavras        : 2.00          : 2.06
dura            : 1.91          : 1.94
gesto           : 1.90          : 1.94
engano          : 1.90          : 1.81
alta            : 1.89          : 2.06
coração         : 1.88          : 1.81
algum           : 1.87          : 1.94
afonso          : 1.87          : 1.69
sangue          : 1.87          : 1.88
humano          : 1.85          : 1.75
