Expected value: 1724.375
Variance: 862.1875
Standard deviation: 29.363029475856198

Mean absolute error: 32.06
Mean relative error: 1.86%
Mean accuracy ratio: 98.14%

Smallest counter value: 1581
Largest counter value: 1866

Mean counter value: 1723.511
Mean absolute deviation: 32.071802
Standard deviation: 40.05403698754971
Maximum deviation: 142.51099999999997
Variance: 1604.325879

Mean Counter Values per Word:
Word : Counter Value : Expected Value
gente           : 14.44         : 14.38
terra           : 13.90         : 13.88
rei             : 12.96         : 12.75
mar             : 11.78         : 11.75
co              : 6.71          : 6.69
mundo           : 6.24          : 6.31
reino           : 5.46          : 5.38
céu             : 5.13          : 5.19
forte           : 4.92          : 4.94
ó               : 4.88          : 4.88
peito           : 4.80          : 4.75
outro           : 4.52          : 4.50
nome            : 4.51          : 4.50
fama            : 4.16          : 4.12
vê              : 4.13          : 4.12
amor            : 3.90          : 3.94
enfim           : 3.85          : 3.88
armas           : 3.71          : 3.62
deus            : 3.64          : 3.62
capitão         : 3.63          : 3.62
tinha           : 3.56          : 3.56
água            : 3.54          : 3.50
força           : 3.47          : 3.38
filho           : 3.37          : 3.44
vida            : 3.29          : 3.44
águas           : 3.21          : 3.19
guerra          : 3.17          : 3.12
gama            : 3.16          : 3.06
gentes          : 3.12          : 3.19
manda           : 3.12          : 3.12
terras          : 3.10          : 3.06
mouro           : 3.09          : 3.12
morte           : 3.05          : 3.06
cidade          : 2.99          : 2.94
vendo           : 2.98          : 2.94
olhos           : 2.94          : 2.94
há              : 2.88          : 2.88
olha            : 2.88          : 2.88
vento           : 2.72          : 2.69
naus            : 2.72          : 2.75
claro           : 2.71          : 2.75
mouros          : 2.69          : 2.69
fogo            : 2.68          : 2.62
ilha            : 2.63          : 2.62
ondas           : 2.62          : 2.62
ilustre         : 2.62          : 2.62
d               : 2.58          : 2.56
vista           : 2.50          : 2.50
sol             : 2.44          : 2.44
si              : 2.41          : 2.44
nenhum          : 2.39          : 2.38
esforço         : 2.35          : 2.31
vês             : 2.35          : 2.38
dia             : 2.34          : 2.38
duro            : 2.32          : 2.25
arte            : 2.31          : 2.31
alto            : 2.28          : 2.31
nobre           : 2.27          : 2.25
armada          : 2.23          : 2.19
lei             : 2.23          : 2.19
pera            : 2.21          : 2.19
ouro            : 2.21          : 2.19
doce            : 2.20          : 2.12
glória          : 2.19          : 2.25
certo           : 2.19          : 2.25
costa           : 2.19          : 2.25
ardente         : 2.18          : 2.19
disse           : 2.17          : 2.19
feitos          : 2.12          : 2.19
pátria          : 2.11          : 2.12
palavras        : 2.05          : 2.06
alta            : 2.05          : 2.06
deuses          : 2.04          : 2.00
gesto           : 2.00          : 1.94
será            : 1.99          : 1.94
dura            : 1.99          : 1.94
campo           : 1.95          : 1.94
inda            : 1.94          : 1.88
algum           : 1.92          : 1.94
lo              : 1.91          : 2.00
engano          : 1.88          : 1.81
rio             : 1.88          : 1.88
dele            : 1.87          : 1.88
sangue          : 1.85          : 1.88
donde           : 1.82          : 1.88
cor             : 1.82          : 1.88
índia           : 1.80          : 1.81
humano          : 1.80          : 1.75
várias          : 1.76          : 1.75
sendo           : 1.75          : 1.69
inimigos        : 1.74          : 1.75
coração         : 1.71          : 1.81
fazendo         : 1.70          : 1.69
companhia       : 1.70          : 1.69
ventos          : 1.68          : 1.69
posto           : 1.67          : 1.75
partes          : 1.66          : 1.62
dando           : 1.62          : 1.62
reis            : 1.61          : 1.62
viu             : 1.61          : 1.62
ti              : 1.61          : 1.62
mui             : 1.60          : 1.56
junto           : 1.60          : 1.50
ferro           : 1.60          : 1.62
rica            : 1.59          : 1.62
santa           : 1.58          : 1.56
mares           : 1.58          : 1.62
perigos         : 1.57          : 1.50
canto           : 1.57          : 1.50
afonso          : 1.56          : 1.69
tejo            : 1.56          : 1.56
dum             : 1.55          : 1.56
vereis          : 1.55          : 1.56
luz             : 1.55          : 1.56
verdade         : 1.54          : 1.62
ar              : 1.53          : 1.56
traz            : 1.53          : 1.50
estranha        : 1.52          : 1.50
frota           : 1.52          : 1.56
pai             : 1.52          : 1.50
sorte           : 1.51          : 1.56
santo           : 1.50          : 1.50
buscar          : 1.50          : 1.44
formosa         : 1.48          : 1.44
largo           : 1.48          : 1.50
leve            : 1.48          : 1.50
voz             : 1.47          : 1.56
bela            : 1.47          : 1.50
mão             : 1.47          : 1.56
grão            : 1.47          : 1.44
memória         : 1.47          : 1.44
lusitano        : 1.46          : 1.56
obras           : 1.46          : 1.50
vitória         : 1.45          : 1.44
braço           : 1.44          : 1.50
chama           : 1.44          : 1.44
porto           : 1.43          : 1.38
dizendo         : 1.43          : 1.44
via             : 1.43          : 1.44
corpo           : 1.42          : 1.44
marte           : 1.42          : 1.44
quis            : 1.42          : 1.38
montes          : 1.41          : 1.38
dano            : 1.41          : 1.38
rosto           : 1.40          : 1.44
desejo          : 1.40          : 1.38
espada          : 1.39          : 1.38
gentio          : 1.39          : 1.38
eis             : 1.38          : 1.38
antigo          : 1.37          : 1.44
eram            : 1.37          : 1.44
trabalhos       : 1.36          : 1.38
leva            : 1.36          : 1.31
dela            : 1.36          : 1.38
filhos          : 1.36          : 1.44
trabalho        : 1.35          : 1.38
peitos          : 1.34          : 1.31
feito           : 1.32          : 1.31
tantas          : 1.32          : 1.31
alegria         : 1.31          : 1.31
fera            : 1.31          : 1.31
dizia           : 1.31          : 1.31
ventura         : 1.31          : 1.25
mãe             : 1.30          : 1.31
caso            : 1.29          : 1.31
portugueses     : 1.29          : 1.31
oceano          : 1.29          : 1.31
vinha           : 1.29          : 1.31
altos           : 1.28          : 1.31
longo           : 1.27          : 1.31
fica            : 1.27          : 1.25
seja            : 1.27          : 1.25
ninfas          : 1.27          : 1.25
frio            : 1.26          : 1.31
campos          : 1.26          : 1.25
divina          : 1.25          : 1.25
velho           : 1.25          : 1.25
fortes          : 1.25          : 1.25
idade           : 1.25          : 1.19
velas           : 1.24          : 1.25
cristo          : 1.24          : 1.25
temor           : 1.24          : 1.25
antiga          : 1.24          : 1.19
humana          : 1.23          : 1.25
fero            : 1.22          : 1.25
medo            : 1.22          : 1.25
inimigo         : 1.21          : 1.19
fortuna         : 1.21          : 1.25
coa             : 1.20          : 1.19
razão           : 1.20          : 1.25
padre           : 1.19          : 1.19
deusa           : 1.19          : 1.19
tantos          : 1.18          : 1.19
sinal           : 1.18          : 1.12
muros           : 1.17          : 1.19
vil             : 1.17          : 1.19
amores          : 1.17          : 1.19
mãos            : 1.16          : 1.19
quase           : 1.16          : 1.19
céus            : 1.15          : 1.19
ledo            : 1.15          : 1.12
despois         : 1.15          : 1.19
forças          : 1.15          : 1.12
mostra          : 1.15          : 1.19
lágrimas        : 1.15          : 1.19
la              : 1.14          : 1.19
escura          : 1.14          : 1.12
profundo        : 1.14          : 1.12
lusitana        : 1.14          : 1.12
tomar           : 1.14          : 1.19
clara           : 1.13          : 1.12
juntamente      : 1.12          : 1.12
irado           : 1.12          : 1.19
sublime         : 1.11          : 1.12
sereno          : 1.11          : 1.12
seguro          : 1.11          : 1.06
ira             : 1.10          : 1.00
filha           : 1.10          : 1.06
lança           : 1.10          : 1.12
piloto          : 1.09          : 1.06
oriente         : 1.09          : 1.12
fria            : 1.09          : 1.12
grã             : 1.08          : 1.06
horrendo        : 1.07          : 1.06
monte           : 1.06          : 1.12
trazia          : 1.06          : 1.00
nela            : 1.06          : 1.06
perigo          : 1.06          : 1.06
passa           : 1.05          : 1.06
toma            : 1.05          : 1.06
cores           : 1.04          : 1.06
torna           : 1.04          : 1.00
luso            : 1.04          : 1.00
triste          : 1.04          : 1.06
senhor          : 1.03          : 1.06
castela         : 1.03          : 1.00
potente         : 1.03          : 1.00
firme           : 1.03          : 1.06
consigo         : 1.03          : 1.00
nau             : 1.02          : 1.00
ama             : 1.02          : 1.00
paz             : 1.02          : 1.06
reinos          : 1.02          : 1.00
vontade         : 1.02          : 1.00
português       : 1.01          : 1.06
fosse           : 1.01          : 1.06
ninfa           : 1.01          : 1.00
corre           : 1.01          : 1.00
império         : 1.01          : 1.00
rico            : 1.01          : 0.94
deu             : 1.00          : 0.94
fé              : 1.00          : 1.00
geração         : 1.00          : 0.94
cavaleiro       : 0.99          : 1.00
cabo            : 0.99          : 1.00
soberba         : 0.99          : 1.00
sós             : 0.99          : 0.94
baco            : 0.99          : 1.00
vir             : 0.99          : 1.06
cabeça          : 0.98          : 1.00
daqui           : 0.98          : 1.00
noite           : 0.97          : 0.94
manha           : 0.97          : 0.94
alma            : 0.97          : 1.00
pólo            : 0.97          : 0.94
dom             : 0.96          : 1.00
estrelas        : 0.95          : 0.94
terreno         : 0.95          : 0.94
destes          : 0.95          : 0.94
anos            : 0.95          : 0.94
virtude         : 0.94          : 1.00
indo            : 0.94          : 0.94
batéis          : 0.94          : 0.94
flores          : 0.94          : 0.94
leis            : 0.93          : 0.88
larga           : 0.93          : 0.94
maneira         : 0.93          : 0.94
antigos         : 0.93          : 0.94
vénus           : 0.92          : 0.88
príncipe        : 0.91          : 0.94
deixa           : 0.91          : 0.94
moço            : 0.91          : 0.88
falso           : 0.91          : 0.94
deseja          : 0.91          : 0.88
mortos          : 0.91          : 0.88
soberbo         : 0.91          : 0.94
esperança       : 0.90          : 0.88
pôr             : 0.90          : 0.88
ficou           : 0.89          : 0.88
deixando        : 0.89          : 0.88
estende         : 0.89          : 0.88
começa          : 0.89          : 0.88
fronte          : 0.89          : 0.88
praia           : 0.88          : 0.94
passar          : 0.88          : 0.88
bravo           : 0.88          : 0.88
pensamento      : 0.88          : 0.94
homens          : 0.87          : 0.81
melhor          : 0.87          : 0.88
amigo           : 0.87          : 0.88
veio            : 0.87          : 0.88
responde        : 0.87          : 0.88
f               : 0.86          : 0.88
honras          : 0.86          : 0.88
nisto           : 0.86          : 0.88
causa           : 0.86          : 0.81
casos           : 0.86          : 0.81
braços          : 0.85          : 0.88
lusitanos       : 0.85          : 0.88
castelhano      : 0.85          : 0.88
assento         : 0.85          : 0.88
espanha         : 0.85          : 0.81
áfrica          : 0.85          : 0.88
senão           : 0.85          : 0.88
jugo            : 0.84          : 0.81
eterna          : 0.84          : 0.88
netuno          : 0.84          : 0.81
usado           : 0.84          : 0.88
prémio          : 0.83          : 0.88
terá            : 0.83          : 0.81
obriga          : 0.83          : 0.75
senhores        : 0.83          : 0.81
sono            : 0.83          : 0.81
ilhas           : 0.82          : 0.88
poucos          : 0.82          : 0.81
casa            : 0.82          : 0.81
animais         : 0.82          : 0.81
furor           : 0.81          : 0.81
engenho         : 0.81          : 0.81
setas           : 0.81          : 0.81
nobres          : 0.81          : 0.81
anda            : 0.81          : 0.81
amigos          : 0.81          : 0.81
cousas          : 0.81          : 0.81
muitas          : 0.81          : 0.81
alegre          : 0.81          : 0.81
espanto         : 0.81          : 0.81
serra           : 0.81          : 0.81
exército        : 0.80          : 0.81
mostrando       : 0.80          : 0.81
mata            : 0.80          : 0.81
vitórias        : 0.80          : 0.81
deles           : 0.80          : 0.81
damas           : 0.80          : 0.81
senhorio        : 0.80          : 0.75
má              : 0.80          : 0.81
guerras         : 0.79          : 0.75
andava          : 0.79          : 0.81
divino          : 0.79          : 0.75
cidades         : 0.79          : 0.81
fundo           : 0.79          : 0.81
colo            : 0.79          : 0.81
sábio           : 0.78          : 0.81
fraco           : 0.78          : 0.75
famosa          : 0.78          : 0.81
vela            : 0.78          : 0.75
fizeram         : 0.77          : 0.75
tomou           : 0.77          : 0.75
joane           : 0.77          : 0.75
estando         : 0.77          : 0.75
amada           : 0.77          : 0.75
passados        : 0.77          : 0.81
aves            : 0.77          : 0.75
súbito          : 0.77          : 0.75
dous            : 0.77          : 0.75
aurora          : 0.77          : 0.75
júpiter         : 0.77          : 0.81
razões          : 0.76          : 0.75
fala            : 0.76          : 0.75
pés             : 0.76          : 0.75
tomando         : 0.76          : 0.75
presa           : 0.76          : 0.75
dama            : 0.76          : 0.75
altas           : 0.76          : 0.75
estreito        : 0.75          : 0.75
preço           : 0.75          : 0.75
entra           : 0.75          : 0.75
raios           : 0.75          : 0.75
pede            : 0.75          : 0.75
modo            : 0.75          : 0.75
portuguesa      : 0.75          : 0.75
estavam         : 0.75          : 0.75
puro            : 0.75          : 0.75
pôs             : 0.74          : 0.75
catual          : 0.74          : 0.69
eterno          : 0.74          : 0.75
ajuda           : 0.74          : 0.75
língua          : 0.74          : 0.75
costumes        : 0.74          : 0.75
buscando        : 0.74          : 0.75
famoso          : 0.73          : 0.75
