Expected value: 2523.75
Variance: 1261.875
Standard deviation: 35.5228799508148

Mean absolute error: 38.56125
Mean relative error: 1.53%
Mean accuracy ratio: 98.47%

Smallest counter value: 2334
Largest counter value: 2710

Mean counter value: 2524.0103
Mean absolute deviation: 38.56249569999999
Standard deviation: 48.346656491530005
Maximum deviation: 190.01029999999992
Variance: 2337.39919391

Mean Counter Values per Word:
Word : Counter Value : Expected Value
said            : 30.44         : 30.38
holmes          : 28.80         : 28.88
s               : 23.69         : 23.69
man             : 19.02         : 19.06
mr              : 17.18         : 17.19
little          : 16.89         : 16.81
think           : 10.86         : 10.88
room            : 10.68         : 10.69
know            : 10.64         : 10.62
shall           : 10.60         : 10.56
come            : 10.05         : 10.06
time            : 9.41          : 9.44
came            : 9.17          : 9.12
door            : 9.00          : 9.00
good            : 8.58          : 8.56
face            : 7.99          : 8.00
matter          : 7.86          : 7.81
yes             : 7.81          : 7.81
hand            : 7.52          : 7.50
house           : 7.51          : 7.50
case            : 7.38          : 7.31
night           : 7.35          : 7.38
way             : 7.21          : 7.25
heard           : 7.09          : 7.06
found           : 6.74          : 6.75
day             : 6.67          : 6.69
away            : 6.63          : 6.62
morning         : 6.43          : 6.44
tell            : 6.19          : 6.19
right           : 6.11          : 6.12
like            : 6.10          : 6.06
sherlock        : 6.07          : 6.06
t               : 6.05          : 6.06
left            : 5.71          : 5.75
oh              : 5.64          : 5.62
miss            : 5.53          : 5.50
saw             : 5.51          : 5.56
asked           : 5.50          : 5.50
took            : 5.48          : 5.44
long            : 5.46          : 5.44
eyes            : 5.45          : 5.44
father          : 5.20          : 5.19
street          : 5.15          : 5.19
st              : 5.13          : 5.12
watson          : 5.08          : 5.06
young           : 5.07          : 5.06
round           : 5.06          : 5.06
lady            : 5.02          : 5.00
find            : 5.00          : 5.00
friend          : 4.93          : 4.94
small           : 4.93          : 4.94
sir             : 4.88          : 4.88
thought         : 4.82          : 4.81
light           : 4.68          : 4.69
business        : 4.58          : 4.56
hands           : 4.57          : 4.56
look            : 4.54          : 4.56
old             : 4.51          : 4.50
seen            : 4.49          : 4.50
window          : 4.47          : 4.50
woman           : 4.41          : 4.44
let             : 4.36          : 4.38
cried           : 4.28          : 4.25
went            : 4.27          : 4.25
having          : 4.24          : 4.25
head            : 4.24          : 4.25
years           : 4.03          : 4.06
doubt           : 4.02          : 4.00
remarked        : 4.01          : 4.00
open            : 3.99          : 4.00
chair           : 3.90          : 3.88
half            : 3.86          : 3.81
great           : 3.77          : 3.75
wife            : 3.75          : 3.75
course          : 3.70          : 3.69
mind            : 3.63          : 3.62
knew            : 3.57          : 3.56
end             : 3.56          : 3.56
dear            : 3.48          : 3.50
answered        : 3.47          : 3.50
far             : 3.45          : 3.44
place           : 3.42          : 3.38
looking         : 3.41          : 3.38
sat             : 3.38          : 3.38
got             : 3.33          : 3.31
police          : 3.23          : 3.25
looked          : 3.22          : 3.19
son             : 3.20          : 3.19
red             : 3.19          : 3.19
better          : 3.19          : 3.19
hardly          : 3.18          : 3.12
table           : 3.18          : 3.19
turned          : 3.18          : 3.19
black           : 3.18          : 3.19
hat             : 3.16          : 3.12
possible        : 3.14          : 3.12
told            : 3.11          : 3.12
brought         : 3.09          : 3.12
life            : 3.02          : 3.00
leave           : 3.01          : 3.00
home            : 3.00          : 3.00
help            : 2.98          : 2.94
understand      : 2.97          : 3.00
work            : 2.94          : 2.94
thing           : 2.93          : 2.94
suddenly        : 2.93          : 2.94
strange         : 2.91          : 2.88
gave            : 2.90          : 2.88
words           : 2.86          : 2.88
minutes         : 2.86          : 2.88
point           : 2.84          : 2.81
hair            : 2.83          : 2.81
fire            : 2.82          : 2.81
gentleman       : 2.82          : 2.81
gone            : 2.82          : 2.81
certainly       : 2.80          : 2.81
papers          : 2.80          : 2.81
clear           : 2.76          : 2.75
wish            : 2.76          : 2.75
money           : 2.75          : 2.75
mrs             : 2.75          : 2.75
paper           : 2.74          : 2.75
set             : 2.71          : 2.69
sure            : 2.68          : 2.69
lay             : 2.63          : 2.62
baker           : 2.63          : 2.62
pray            : 2.62          : 2.62
lord            : 2.57          : 2.56
passed          : 2.54          : 2.56
large           : 2.54          : 2.56
days            : 2.54          : 2.56
london          : 2.54          : 2.56
simon           : 2.51          : 2.50
met             : 2.51          : 2.50
men             : 2.50          : 2.50
dark            : 2.50          : 2.50
word            : 2.49          : 2.50
bed             : 2.46          : 2.44
soon            : 2.45          : 2.44
doctor          : 2.42          : 2.44
lestrade        : 2.41          : 2.38
clock           : 2.38          : 2.38
evening         : 2.37          : 2.38
interest        : 2.36          : 2.38
rucastle        : 2.36          : 2.38
mccarthy        : 2.32          : 2.31
save            : 2.31          : 2.31
returned        : 2.27          : 2.25
road            : 2.26          : 2.25
moment          : 2.26          : 2.25
read            : 2.26          : 2.25
note            : 2.25          : 2.25
opened          : 2.22          : 2.25
hour            : 2.21          : 2.19
country         : 2.20          : 2.19
question        : 2.20          : 2.19
facts           : 2.19          : 2.19
strong          : 2.18          : 2.19
believe         : 2.18          : 2.19
story           : 2.18          : 2.19
o               : 2.18          : 2.19
ask             : 2.17          : 2.19
stood           : 2.17          : 2.19
fellow          : 2.14          : 2.12
sister          : 2.13          : 2.12
companion       : 2.12          : 2.12
ll              : 2.12          : 2.12
waiting         : 2.10          : 2.12
singular        : 2.10          : 2.06
rushed          : 2.07          : 2.06
felt            : 2.07          : 2.06
sitting         : 2.07          : 2.06
entered         : 2.06          : 2.06
use             : 2.05          : 2.06
seven           : 2.01          : 2.00
ah              : 2.00          : 2.00
laid            : 2.00          : 2.00
given           : 2.00          : 2.00
going           : 1.99          : 2.00
crime           : 1.99          : 2.00
corner          : 1.99          : 2.00
hear            : 1.99          : 2.00
hope            : 1.96          : 1.94
forward         : 1.96          : 1.94
able            : 1.95          : 1.94
death           : 1.95          : 1.94
sound           : 1.95          : 1.94
stone           : 1.95          : 1.94
near            : 1.94          : 1.94
client          : 1.94          : 1.94
best            : 1.93          : 1.94
instant         : 1.92          : 1.94
don             : 1.89          : 1.88
heavy           : 1.89          : 1.88
family          : 1.88          : 1.88
new             : 1.88          : 1.88
letter          : 1.88          : 1.88
cut             : 1.87          : 1.88
ran             : 1.86          : 1.88
turn            : 1.86          : 1.88
colonel         : 1.84          : 1.81
dr              : 1.84          : 1.81
inspector       : 1.84          : 1.81
white           : 1.83          : 1.81
true            : 1.83          : 1.81
imagine         : 1.83          : 1.81
god             : 1.82          : 1.81
obvious         : 1.82          : 1.81
hard            : 1.82          : 1.81
threw           : 1.81          : 1.81
year            : 1.81          : 1.81
past            : 1.81          : 1.81
floor           : 1.81          : 1.81
coat            : 1.80          : 1.81
known           : 1.79          : 1.81
