Expected value: 2523.75
Variance: 1261.875
Standard deviation: 35.5228799508148

Mean absolute error: 71.25
Mean relative error: 2.82%
Mean accuracy ratio: 97.18%

Smallest counter value: 2595
Largest counter value: 2595

Mean counter value: 2595.0
Mean absolute deviation: 0.0
Standard deviation: 0.0
Maximum deviation: 0.0
Variance: 0.0

Mean Counter Values per Word:
Word : Counter Value : Expected Value
s               : 31.00         : 23.69
holmes          : 28.00         : 28.88
said            : 28.00         : 30.38
know            : 22.00         : 10.62
mr              : 16.00         : 17.19
think           : 15.00         : 10.88
little          : 13.00         : 16.81
room            : 12.00         : 10.69
like            : 12.00         : 6.06
yes             : 12.00         : 7.81
hand            : 12.00         : 7.50
time            : 11.00         : 9.44
matter          : 10.00         : 7.81
day             : 10.00         : 6.69
man             : 9.00          : 19.06
heard           : 9.00          : 7.06
door            : 9.00          : 9.00
saw             : 9.00          : 5.56
fire            : 9.00          : 2.81
years           : 9.00          : 4.06
shall           : 9.00          : 10.56
father          : 9.00          : 5.19
work            : 8.00          : 2.94
t               : 8.00          : 6.06
face            : 8.00          : 8.00
come            : 8.00          : 10.06
mind            : 7.00          : 3.62
away            : 7.00          : 6.62
police          : 7.00          : 3.25
watson          : 7.00          : 5.06
answered        : 7.00          : 3.50
small           : 7.00          : 4.94
found           : 7.00          : 6.75
morning         : 7.00          : 6.44
sir             : 7.00          : 4.88
case            : 6.00          : 7.31
doubt           : 6.00          : 4.00
street          : 6.00          : 5.19
way             : 6.00          : 7.25
told            : 6.00          : 3.12
came            : 6.00          : 9.12
good            : 6.00          : 8.56
moment          : 6.00          : 2.25
let             : 6.00          : 4.38
took            : 6.00          : 5.44
window          : 6.00          : 4.50
miss            : 6.00          : 5.50
appeared        : 6.00          : 1.69
understand      : 6.00          : 3.00
looking         : 6.00          : 3.38
rushed          : 6.00          : 2.06
sherlock        : 5.00          : 6.06
red             : 5.00          : 3.19
seen            : 5.00          : 4.50
dark            : 5.00          : 2.50
hands           : 5.00          : 4.56
remarked        : 5.00          : 4.00
half            : 5.00          : 3.81
round           : 5.00          : 5.06
open            : 5.00          : 4.00
lost            : 5.00          : 1.75
cried           : 5.00          : 4.25
business        : 5.00          : 4.56
oh              : 5.00          : 5.62
sat             : 5.00          : 3.38
ah              : 5.00          : 2.00
got             : 5.00          : 3.31
inspector       : 5.00          : 1.81
headed          : 4.00          : 1.50
felt            : 4.00          : 2.06
strong          : 4.00          : 2.19
marriage        : 4.00          : 1.69
old             : 4.00          : 4.50
official        : 4.00          : 0.75
friend          : 4.00          : 4.94
night           : 4.00          : 7.38
story           : 4.00          : 2.19
thought         : 4.00          : 4.81
wife            : 4.00          : 3.75
left            : 4.00          : 5.75
hat             : 4.00          : 3.12
help            : 4.00          : 2.94
table           : 4.00          : 3.19
post            : 4.00          : 0.69
o               : 4.00          : 2.19
light           : 4.00          : 4.69
course          : 4.00          : 3.69
great           : 4.00          : 3.75
doctor          : 4.00          : 2.44
pray            : 4.00          : 2.62
house           : 4.00          : 7.50
majesty         : 4.00          : 1.12
king            : 4.00          : 1.62
young           : 4.00          : 5.06
find            : 4.00          : 5.00
suppose         : 4.00          : 1.19
turn            : 4.00          : 1.88
went            : 4.00          : 4.25
suddenly        : 4.00          : 2.94
instant         : 4.00          : 1.94
having          : 4.00          : 4.25
blood           : 4.00          : 0.94
hair            : 4.00          : 2.81
fact            : 4.00          : 1.56
town            : 4.00          : 1.44
early           : 4.00          : 0.88
correct         : 4.00          : 0.62
cut             : 4.00          : 1.88
