Expected value: 841.625
Variance: 420.8125
Standard deviation: 20.513714924410937

Mean absolute error: 12624.2258
Mean relative error: 93.75%
Mean accuracy ratio: 1.00%

Smallest counter value: 744
Largest counter value: 957

Mean counter value: 841.7742
Mean absolute deviation: 22.23601288
Standard deviation: 27.871763746846018
Maximum deviation: 115.22580000000005
Variance: 776.83521436

Mean Counter Values per Word:
Word : Counter Value : Expected Value
thou            : 17.40         : 17.38
thy             : 11.10         : 11.12
d               : 10.27         : 10.25
rom             : 9.30          : 9.31
romeo           : 9.07          : 9.06
thee            : 8.66          : 8.62
loue            : 8.58          : 8.56
o               : 8.57          : 8.56
haue            : 7.89          : 7.88
shall           : 6.63          : 6.62
come            : 6.13          : 6.12
iul             : 6.06          : 6.06
enter           : 5.68          : 5.69
s               : 5.26          : 5.25
man             : 5.24          : 5.25
nur             : 4.87          : 4.88
night           : 4.56          : 4.56
ile             : 4.52          : 4.50
death           : 4.34          : 4.38
good            : 4.26          : 4.25
hath            : 4.00          : 4.00
nurse           : 3.98          : 4.00
ben             : 3.93          : 3.94
st              : 3.88          : 3.88
mer             : 3.72          : 3.69
vp              : 3.56          : 3.56
sir             : 3.50          : 3.50
art             : 3.39          : 3.38
iuliet          : 3.38          : 3.38
day             : 3.31          : 3.31
fri             : 3.18          : 3.19
lady            : 3.12          : 3.12
dead            : 2.99          : 3.00
let             : 2.98          : 3.00
giue            : 2.95          : 2.94
doth            : 2.92          : 2.94
faire           : 2.69          : 2.69
tell            : 2.69          : 2.69
like            : 2.64          : 2.62
hast            : 2.63          : 2.62
vpon            : 2.62          : 2.62
tis             : 2.60          : 2.56
tybalt          : 2.60          : 2.62
selfe           : 2.44          : 2.44
old             : 2.38          : 2.38
know            : 2.30          : 2.31
time            : 2.25          : 2.25
cap             : 2.25          : 2.25
gone            : 2.12          : 2.12
wife            : 2.08          : 2.06
frier           : 2.07          : 2.06
light           : 2.06          : 2.06
paris           : 2.06          : 2.06
vs              : 1.89          : 1.88
looke           : 1.88          : 1.88
wilt            : 1.87          : 1.88
lord            : 1.87          : 1.88
true            : 1.87          : 1.88
heauen          : 1.79          : 1.81
stay            : 1.76          : 1.75
eyes            : 1.71          : 1.69
father          : 1.69          : 1.69
god             : 1.69          : 1.69
againe          : 1.68          : 1.69
word            : 1.68          : 1.69
comes           : 1.67          : 1.69
bed             : 1.63          : 1.62
ere             : 1.63          : 1.62
backe           : 1.62          : 1.62
stand           : 1.62          : 1.62
heart           : 1.62          : 1.62
sweet           : 1.62          : 1.62
speake          : 1.61          : 1.62
hand            : 1.55          : 1.56
madam           : 1.52          : 1.50
house           : 1.51          : 1.50
deare           : 1.48          : 1.50
away            : 1.45          : 1.44
die             : 1.44          : 1.44
holy            : 1.43          : 1.44
heare           : 1.40          : 1.38
earth           : 1.39          : 1.38
face            : 1.38          : 1.38
capulet         : 1.38          : 1.38
mountague       : 1.37          : 1.38
young           : 1.37          : 1.38
till            : 1.37          : 1.38
bid             : 1.37          : 1.38
life            : 1.36          : 1.38
men             : 1.33          : 1.31
thinke          : 1.32          : 1.31
find            : 1.32          : 1.31
mercutio        : 1.31          : 1.31
morrow          : 1.26          : 1.25
eye             : 1.25          : 1.25
mother          : 1.25          : 1.25
liue            : 1.25          : 1.25
farewell        : 1.24          : 1.25
nay             : 1.24          : 1.25
banished        : 1.21          : 1.19
houre           : 1.20          : 1.19
thing           : 1.20          : 1.19
lies            : 1.19          : 1.19
graue           : 1.19          : 1.19
teares          : 1.19          : 1.19
peace           : 1.19          : 1.19
neuer           : 1.19          : 1.19
heere           : 1.17          : 1.19
exeunt          : 1.17          : 1.19
shee            : 1.14          : 1.12
married         : 1.13          : 1.12
poore           : 1.13          : 1.12
prince          : 1.12          : 1.12
pray            : 1.12          : 1.12
lips            : 1.09          : 1.06
long            : 1.08          : 1.06
hold            : 1.08          : 1.06
helpe           : 1.07          : 1.06
breath          : 1.06          : 1.06
countie         : 1.06          : 1.06
villaine        : 1.05          : 1.06
world           : 1.05          : 1.06
slaine          : 1.05          : 1.06
owne            : 1.04          : 1.06
mo              : 1.00          : 1.00
law             : 1.00          : 1.00
keepe           : 1.00          : 1.00
lie             : 0.99          : 1.00
goe             : 0.99          : 1.00
ill             : 0.99          : 1.00
oh              : 0.98          : 1.00
daughter        : 0.95          : 0.94
gentleman       : 0.95          : 0.94
fall            : 0.95          : 0.94
rest            : 0.94          : 0.94
loues           : 0.94          : 0.94
newes           : 0.94          : 0.94
ser             : 0.94          : 0.94
child           : 0.93          : 0.94
head            : 0.92          : 0.94
sonne           : 0.92          : 0.94
par             : 0.91          : 0.94
thursday        : 0.90          : 0.88
vse             : 0.89          : 0.88
benuolio        : 0.89          : 0.88
sound           : 0.88          : 0.88
downe           : 0.88          : 0.88
sin             : 0.88          : 0.88
said            : 0.88          : 0.88
doe             : 0.88          : 0.88
sleepe          : 0.88          : 0.88
peter           : 0.88          : 0.88
poyson          : 0.88          : 0.88
ioy             : 0.87          : 0.88
letter          : 0.87          : 0.88
boy             : 0.87          : 0.88
early           : 0.87          : 0.88
husband         : 0.87          : 0.88
new             : 0.86          : 0.88
tib             : 0.85          : 0.88
watch           : 0.82          : 0.81
ah              : 0.82          : 0.81
fa              : 0.82          : 0.81
talke           : 0.82          : 0.81
marrie          : 0.82          : 0.81
friend          : 0.82          : 0.81
pet             : 0.82          : 0.81
gentle          : 0.82          : 0.81
came            : 0.82          : 0.81
leaue           : 0.81          : 0.81
feare           : 0.81          : 0.81
wit             : 0.81          : 0.81
run             : 0.80          : 0.81
blood           : 0.80          : 0.81
soule           : 0.80          : 0.81
send            : 0.80          : 0.81
prin            : 0.80          : 0.81
mad             : 0.80          : 0.81
better          : 0.76          : 0.75
dost            : 0.76          : 0.75
hither          : 0.75          : 0.75
hands           : 0.75          : 0.75
draw            : 0.75          : 0.75
beare           : 0.75          : 0.75
little          : 0.75          : 0.75
iuli            : 0.75          : 0.75
makes           : 0.75          : 0.75
pardon          : 0.75          : 0.75
shame           : 0.75          : 0.75
mantua          : 0.75          : 0.75
best            : 0.75          : 0.75
euer            : 0.75          : 0.75
forth           : 0.75          : 0.75
euen            : 0.74          : 0.75
faith           : 0.74          : 0.75
liues           : 0.74          : 0.75
turne           : 0.74          : 0.75
euery           : 0.74          : 0.75
cell            : 0.74          : 0.75
soone           : 0.70          : 0.69
place           : 0.70          : 0.69
yeares          : 0.70          : 0.69
hate            : 0.70          : 0.69
samp            : 0.70          : 0.69
ladies          : 0.70          : 0.69
